Client_Send,Server_Receive,Server_Send,Client_Receive
23:43:48.917395,23:43:49.125000,23:43:49.126225,23:43:49.326150
23:44:49.326317,23:44:49.956459,23:44:49.956493,23:44:50.154365
23:45:50.154533,23:45:50.371113,23:45:50.371147,23:45:50.569173
23:46:50.569320,23:46:51.199429,23:46:51.199455,23:46:51.395681
23:47:51.395882,23:47:51.383320,23:47:51.383358,23:47:51.398444
23:48:51.398607,23:48:51.395374,23:48:51.395409,23:48:51.431958
23:49:51.432182,23:49:51.397865,23:49:51.397926,23:49:51.450013
23:50:51.450215,23:50:51.618214,23:50:51.618248,23:50:51.875389
23:51:51.875583,23:51:51.821877,23:51:51.821911,23:51:51.899564
23:52:51.899821,23:52:52.025864,23:52:52.025887,23:52:52.120096
23:53:52.120207,23:53:52.485455,23:53:52.485493,23:53:52.738362
23:54:52.738535,23:54:52.896877,23:54:52.896912,23:54:53.163589
23:55:53.163779,23:55:53.452690,23:55:53.452728,23:55:53.686442
23:56:53.686553,23:56:53.919212,23:56:53.919247,23:56:54.078241
23:57:54.078407,23:57:54.124416,23:57:54.124454,23:57:54.348972
23:58:54.349168,23:58:54.555634,23:58:54.555672,23:58:54.704803
23:59:54.704968,23:59:54.750645,23:59:54.750679,23:59:54.985154
0:0:54.985318,0:0:54.950523,0:0:54.950558,0:0:55.076255
0:1:55.076424,0:1:55.159023,0:1:55.159065,0:1:55.499650
0:2:55.499793,0:2:55.777264,0:2:55.777313,0:2:55.933264
0:3:55.933428,0:3:56.191650,0:3:56.191669,0:3:56.451477
0:4:56.451668,0:4:56.301628,0:4:56.301662,0:4:56.456352
0:5:56.456534,0:5:56.410686,0:5:56.410721,0:5:56.669437
0:6:56.669603,0:6:56.613850,0:6:56.613884,0:6:56.800842
0:7:56.800963,0:7:56.812538,0:7:56.812572,0:7:57.313336
0:8:57.313497,0:8:57.130627,0:8:57.130665,0:8:57.318220
0:9:57.318374,0:9:57.308563,0:9:57.308601,0:9:57.524376
0:10:57.524543,0:10:57.516594,0:10:57.516628,0:10:57.744603
0:11:57.744772,0:11:57.927769,0:11:57.927803,0:11:58.260174
0:12:58.260337,0:12:58.338486,0:12:58.338520,0:12:58.678433
0:13:58.678614,0:13:58.751266,0:13:58.751301,0:13:59.098038
0:14:59.098195,0:14:59.060249,0:14:59.060280,0:14:59.415497
0:15:59.415673,0:15:59.598629,0:15:59.598663,0:15:59.779051
0:16:59.779215,0:16:59.691036,0:16:59.691071,0:16:59.933795
0:17:59.933963,0:18:0.017162,0:18:0.017188,0:18:0.375780
0:19:0.375939,0:19:0.403972,0:19:0.404007,0:19:0.998101
0:20:0.998274,0:20:1.016744,0:20:1.016784,0:20:1.403958
0:21:1.404120,0:21:1.428682,0:21:1.428717,0:21:1.826369
0:22:1.826525,0:22:1.840179,0:22:1.840216,0:22:2.223667
