Client_Send,Server_Receive,Server_Send,Client_Receive
21:30:14.441697,21:30:14.734351,21:30:14.735573,21:30:14.851400
21:31:14.851580,21:31:15.154390,21:31:15.154465,21:31:15.293727
21:32:15.293894,21:32:15.354305,21:32:15.354329,21:32:15.299046
21:33:15.299209,21:33:15.557594,21:33:15.557636,21:33:15.715417
21:34:15.715590,21:34:16.388781,21:34:16.388817,21:34:16.552784
21:35:16.553010,21:35:16.593819,21:35:16.593855,21:35:16.563303
21:36:16.563496,21:36:16.600506,21:36:16.600550,21:36:16.580198
21:37:16.580359,21:37:16.807119,21:37:16.807142,21:37:16.996468
21:38:16.996654,21:38:17.011843,21:38:17.011908,21:38:17.008538
21:39:17.008724,21:39:17.474218,21:39:17.474255,21:39:17.445167
21:40:17.445336,21:40:17.714714,21:40:17.714762,21:40:17.886637
21:41:17.886805,21:41:18.107128,21:41:18.107149,21:41:18.300929
21:42:18.301090,21:42:18.545422,21:42:18.545458,21:42:18.723460
21:43:18.723624,21:43:18.933617,21:43:18.933651,21:43:19.109880
21:44:19.110046,21:44:19.351479,21:44:19.351517,21:44:19.528884
21:45:19.529064,21:45:19.760962,21:45:19.761002,21:45:19.950612
21:46:19.950787,21:46:20.022230,21:46:20.022268,21:46:20.011256
21:47:20.011413,21:47:20.179197,21:47:20.179234,21:47:20.381334
21:48:20.381516,21:48:20.390287,21:48:20.390417,21:48:20.396118
21:49:20.396280,21:49:20.596685,21:49:20.596724,21:49:20.805464
21:50:30.805627,21:50:31.030613,21:50:31.030649,21:50:31.266141
21:51:31.266299,21:51:31.299421,21:51:31.299459,21:51:31.323794
21:52:31.323942,21:52:31.497461,21:52:31.497499,21:52:31.739313
21:53:31.739475,21:53:31.910488,21:53:31.910536,21:53:32.158143
21:54:32.158302,21:54:32.238388,21:54:32.238422,21:54:32.228822
21:55:32.228975,21:55:32.382584,21:55:32.382618,21:55:32.593205
21:56:32.593366,21:56:32.787529,21:56:32.787563,21:56:33.002059
21:57:33.002250,21:57:33.196747,21:57:33.196785,21:57:33.420688
21:58:33.420891,21:58:33.609772,21:58:33.609806,21:58:33.840900
21:59:33.841065,21:59:33.839725,21:59:33.839760,21:59:33.872232
22:0:33.872395,22:0:34.019295,22:0:34.019329,22:0:34.382445
22:1:34.382619,22:1:34.457287,22:1:34.457321,22:1:34.599786
22:2:34.599982,22:2:34.643578,22:2:34.643616,22:2:34.809226
22:3:34.809391,22:3:34.850761,22:3:34.850800,22:3:35.005629
22:4:35.005770,22:4:35.050770,22:4:35.050804,22:4:35.218417
22:5:35.218578,22:5:35.258884,22:5:35.258919,22:5:35.425992
22:6:35.426145,22:6:35.469872,22:6:35.469913,22:6:35.634643
22:7:35.634803,22:7:35.675568,22:7:35.675606,22:7:35.843236
22:8:35.843390,22:8:35.885731,22:8:35.885757,22:8:35.960138
22:9:35.960296,22:9:36.096195,22:9:36.096233,22:9:36.364362
22:10:36.364515,22:10:36.592957,22:10:36.592991,22:10:37.392656
22:11:37.392820,22:11:37.612633,22:11:37.612679,22:11:37.704607
22:12:37.704764,22:12:38.026413,22:12:38.026459,22:12:38.222952
22:13:38.223111,22:13:38.438934,22:13:38.438972,22:13:38.638855
22:14:38.639021,22:14:38.852432,22:14:38.852467,22:14:39.056126
22:15:39.056266,22:15:39.261452,22:15:39.261490,22:15:39.469040
22:16:39.469201,22:16:39.673393,22:16:39.673431,22:16:39.884217
22:17:39.884386,22:17:40.101467,22:17:40.101501,22:17:40.719434
22:18:40.719600,22:18:40.959583,22:18:40.959621,22:18:41.074101
22:19:41.074268,22:19:41.139469,22:19:41.139503,22:19:41.235699
22:20:41.235867,22:20:41.330940,22:20:41.330986,22:20:41.445768
22:21:41.445929,22:21:41.537949,22:21:41.537987,22:21:41.657262
22:22:41.657425,22:22:41.746967,22:22:41.747005,22:22:41.881184
22:23:41.881345,22:23:41.984959,22:23:41.984997,22:23:42.089365
22:24:42.089526,22:24:42.164482,22:24:42.164520,22:24:42.299238
22:25:42.299409,22:25:42.353374,22:25:42.353409,22:25:42.401180
22:26:42.401346,22:26:42.663177,22:26:42.663219,22:26:42.723710
22:27:42.723878,22:27:43.080219,22:27:43.080254,22:27:43.240968
22:28:43.241137,22:28:43.477238,22:28:43.477272,22:28:43.651771
22:29:43.651937,22:29:43.887836,22:29:43.887875,22:29:44.068485
22:30:44.068650,22:30:44.299278,22:30:44.299313,22:30:45.099645
22:31:45.099821,22:31:45.528393,22:31:45.528427,22:31:45.720218
22:32:45.720397,22:32:46.157364,22:32:46.157410,22:32:46.361376
22:33:46.361551,22:33:46.368649,22:33:46.368687,22:33:46.368819
22:34:46.369013,22:34:46.761616,22:34:46.761669,22:34:46.972317
22:35:46.972490,22:35:47.176369,22:35:47.176403,22:35:47.403246
22:36:47.403368,22:36:47.789219,22:36:47.789249,22:36:48.012197
22:37:48.012360,22:37:48.201378,22:37:48.201424,22:37:48.433671
22:38:48.433823,22:38:48.597057,22:38:48.597103,22:38:48.644680
22:39:48.644845,22:39:48.843754,22:39:48.843781,22:39:49.067795
22:40:49.067947,22:40:49.227245,22:40:49.227291,22:40:49.492284
22:41:49.492445,22:41:49.663174,22:41:49.663219,22:41:49.906285
22:42:49.906444,22:42:50.046612,22:42:50.046642,22:42:50.325935
22:43:50.326074,22:43:50.290611,22:43:50.290649,22:43:50.366472
22:44:50.366626,22:44:50.542080,22:44:50.542107,22:44:50.746025
22:45:50.746141,22:45:50.979267,22:45:50.979305,22:45:51.265491
22:46:51.265628,22:46:51.368217,22:46:51.368259,22:46:51.483685
22:47:51.483851,22:47:51.577156,22:47:51.577190,22:47:51.699735
22:48:51.699897,22:48:51.782097,22:48:51.782131,22:48:51.811457
