Client_Send,Server_Receive,Server_Send,Client_Receive
11:41:35.216492,11:41:35.203506,11:41:35.203987,11:41:35.219055
11:42:35.219181,11:42:35.465674,11:42:35.465694,11:42:35.686193
11:43:35.686353,11:43:35.678045,11:43:35.678061,11:43:35.692302
11:44:35.692418,11:44:35.802441,11:44:35.802460,11:44:35.908871
11:45:35.908991,11:45:36.102056,11:45:36.102074,11:45:36.322237
11:46:36.322399,11:46:36.519601,11:46:36.519621,11:46:36.712192
11:47:36.712348,11:47:36.731156,11:47:36.731174,11:47:36.752380
11:48:36.752518,11:48:36.766596,11:48:36.766690,11:48:36.815772
11:49:36.815874,11:49:36.950674,11:49:36.950693,11:49:37.187649
11:50:37.187810,11:50:37.367559,11:50:37.367576,11:50:37.605074
11:51:37.605251,11:51:37.776592,11:51:37.776610,11:51:38.25268
11:52:38.25430,11:52:38.201549,11:52:38.201569,11:52:38.445131
11:53:38.445298,11:53:39.67562,11:53:39.67584,11:53:39.274092
11:54:39.274219,11:54:39.453152,11:54:39.453170,11:54:39.495305
11:55:39.495432,11:55:39.657376,11:55:39.657395,11:55:40.16828
11:56:40.16991,11:56:40.78921,11:56:40.78942,11:56:40.229211
11:57:40.229377,11:57:40.286291,11:57:40.286310,11:57:40.437180
11:58:40.437340,11:58:40.503380,11:58:40.503399,11:58:40.653612
11:59:40.653770,11:59:40.710818,11:59:40.710838,11:59:40.864697
12:0:40.864820,12:0:41.33213,12:0:41.33233,12:0:41.180308
12:1:41.180481,12:1:41.339735,12:1:41.339754,12:1:41.598862
12:2:41.599016,12:2:41.862611,12:2:41.862633,12:2:42.18862
12:3:42.19019,12:3:42.72325,12:3:42.72348,12:3:42.127213
12:4:42.127377,12:4:42.181290,12:4:42.181308,12:4:42.442546
12:5:42.442688,12:5:42.497305,12:5:42.497323,12:5:42.702313
12:6:42.702471,12:6:42.847735,12:6:42.847754,12:6:42.975534
12:7:42.975692,12:7:43.38107,12:7:43.38125,12:7:43.188199
12:8:43.188354,12:8:43.242521,12:8:43.242539,12:8:43.419609
12:9:43.419772,12:9:43.446292,12:9:43.446311,12:9:43.612824
12:10:43.612978,12:10:43.604681,12:10:43.604697,12:10:43.675568
12:11:43.675725,12:11:43.646950,12:11:43.646970,12:11:43.726674
12:12:43.726828,12:12:43.701636,12:12:43.701669,12:12:43.810005
12:13:43.810131,12:13:43.700524,12:13:43.700561,12:13:43.815456
12:14:43.815541,12:14:43.754141,12:14:43.754170,12:14:43.875398
12:15:43.875545,12:15:43.862052,12:15:43.862099,12:15:44.80605
12:16:44.80734,12:16:44.449717,12:16:44.449748,12:16:44.791826
12:17:44.791982,12:17:44.653547,12:17:44.653583,12:17:44.798216
12:18:44.798365,12:18:44.853125,12:18:44.853164,12:18:45.216428
12:19:45.216534,12:19:45.195336,12:19:45.195372,12:19:45.435226
12:20:45.435369,12:20:45.366600,12:20:45.366636,12:20:45.643830
12:21:45.643959,12:21:45.567482,12:21:45.567517,12:21:45.990678
12:22:45.990834,12:22:45.876534,12:22:45.876570,12:22:46.75981
12:23:46.76159,12:23:45.975082,12:23:45.975118,12:23:46.301472
12:24:46.301633,12:24:46.184064,12:24:46.184098,12:24:46.505293
12:25:46.505452,12:25:46.390235,12:25:46.390270,12:25:46.722949
12:26:46.723103,12:26:46.591812,12:26:46.591848,12:26:46.934871
12:27:46.935031,12:27:46.797714,12:27:46.797747,12:27:47.149335
12:28:47.149471,12:28:47.210812,12:28:47.210849,12:28:47.569206
12:29:47.569370,12:29:47.520323,12:29:47.520358,12:29:47.986972
12:30:47.987133,12:30:47.881313,12:30:47.881348,12:30:48.213012
12:31:48.213115,12:31:48.42956,12:31:48.42987,12:31:48.314005
12:32:48.314190,12:32:48.248783,12:32:48.248846,12:32:48.728715
12:33:48.728838,12:33:48.564041,12:33:48.564084,12:33:49.50460
12:34:49.50626,12:34:48.769826,12:34:48.769862,12:34:49.68833
12:35:49.69003,12:35:49.75329,12:35:49.75365,12:35:49.476062
12:36:49.476224,12:36:49.282117,12:36:49.282152,12:36:49.687006
12:37:49.687159,12:37:49.499049,12:37:49.499084,12:37:49.900747
12:38:49.900906,12:38:49.691014,12:38:49.691046,12:38:50.133349
12:39:50.133518,12:39:49.901934,12:39:49.901970,12:39:50.224750
12:40:50.224906,12:40:50.9975,12:40:50.10010,12:40:50.437669
12:41:50.437964,12:41:50.315811,12:41:50.315843,12:41:50.753529
12:42:50.753692,12:42:50.521156,12:42:50.521189,12:42:50.966652
12:43:50.966811,12:43:50.621984,12:43:50.622018,12:43:50.973075
12:44:50.973233,12:44:50.738532,12:44:50.738569,12:44:51.188638
12:45:51.188815,12:45:50.953375,12:45:50.953409,12:45:51.401263
12:46:51.401482,12:46:51.154431,12:46:51.154466,12:46:51.614767
12:47:51.614922,12:47:51.347970,12:47:51.348003,12:47:51.828638
12:48:51.828799,12:48:51.553384,12:48:51.553416,12:48:52.40098
12:49:52.40252,12:49:51.760151,12:49:51.760187,12:49:52.259133
12:50:52.259262,12:50:51.984705,12:50:51.984738,12:50:52.383778
12:51:52.383925,12:51:52.72280,12:51:52.72312,12:51:52.475066
12:52:52.475222,12:52:52.278591,12:52:52.278625,12:52:52.687485
12:53:52.687640,12:53:52.483320,12:53:52.483355,12:53:53.105081
12:54:53.105209,12:54:52.795747,12:54:52.795779,12:54:53.224000
12:55:53.224152,12:55:52.894490,12:55:52.894525,12:55:53.319714
12:56:53.319847,12:56:53.9868,12:56:53.9901,12:56:53.513371
12:57:53.513519,12:57:53.105523,12:57:53.105555,12:57:53.528887
12:58:53.529035,12:58:53.312088,12:58:53.312124,12:58:53.940497
12:59:53.940647,12:59:53.526256,12:59:53.526288,12:59:53.951207
13:0:53.951351,13:0:53.726260,13:0:53.726295,13:0:54.457129
13:1:54.457289,13:1:54.342854,13:1:54.342890,13:1:54.979678
13:2:54.979842,13:2:54.754983,13:2:54.755016,13:2:55.374451
13:3:55.374608,13:3:55.165997,13:3:55.166033,13:3:55.599752
13:4:55.599907,13:4:55.344655,13:4:55.344694,13:4:55.817788
13:5:55.817941,13:5:55.580136,13:5:55.580171,13:5:56.110038
13:6:56.110144,13:6:55.786749,13:6:55.786782,13:6:56.434779
13:7:56.434941,13:7:56.6831,13:7:56.6880,13:7:56.453282
13:8:56.453417,13:8:56.199756,13:8:56.199778,13:8:56.865312
13:9:56.865472,13:9:56.611898,13:9:56.611934,13:9:57.274491
13:10:57.274649,13:10:57.24395,13:10:57.24442,13:10:57.570033
13:11:57.570167,13:11:57.230250,13:11:57.230286,13:11:57.897580
13:12:57.897724,13:12:57.641675,13:12:57.641708,13:12:58.270710
13:13:58.270870,13:13:58.50294,13:13:58.50322,13:13:58.591282
13:14:58.591386,13:14:58.259324,13:14:58.259359,13:14:58.940702
13:15:58.940834,13:15:58.671988,13:15:58.672031,13:15:59.356167
13:16:59.356251,13:16:58.877781,13:16:58.877814,13:16:59.362555
13:17:59.362643,13:17:59.81633,13:17:59.81666,13:17:59.778783
13:18:59.778901,13:18:59.499647,13:18:59.499682,13:19:0.194517
13:20:0.194634,13:19:59.902446,13:19:59.902479,13:20:0.611632
13:21:0.611755,13:21:0.311418,13:21:0.311452,13:21:1.26998
13:22:1.27079,13:22:0.724907,13:22:0.724940,13:22:1.445137
13:23:1.445282,13:23:1.141455,13:23:1.141490,13:23:1.865295
13:24:1.865436,13:24:1.546482,13:24:1.546511,13:24:2.174112
13:25:2.174271,13:25:1.650743,13:25:1.650778,13:25:2.182424
13:26:2.182572,13:26:1.760309,13:26:1.760342,13:26:2.391942
13:27:2.392097,13:27:1.861042,13:27:1.861074,13:27:2.397723
13:28:2.397874,13:28:1.976066,13:28:1.976095,13:28:2.718002
13:29:2.718112,13:29:2.383386,13:29:2.383418,13:29:3.128456
13:30:3.128612,13:30:2.997911,13:30:2.997947,13:30:3.951886
13:31:3.952020,13:31:3.615400,13:31:3.615435,13:31:4.364039
13:32:4.364200,13:32:4.31506,13:32:4.31537,13:32:4.776645
13:33:4.776797,13:33:4.442786,13:33:4.442820,13:33:5.149409
13:34:5.149544,13:34:4.649592,13:34:4.649626,13:34:5.198736
13:35:5.198889,13:35:4.857680,13:35:4.857727,13:35:5.608529
13:36:5.608681,13:36:5.62989,13:36:5.63024,13:36:5.612157
13:37:5.612307,13:37:5.625136,13:37:5.625164,13:37:5.677161
13:38:5.677316,13:38:5.770689,13:38:5.770726,13:38:6.31821
13:39:6.31974,13:39:6.183593,13:39:6.183626,13:39:6.446402
13:40:6.446592,13:40:6.595344,13:40:6.595378,13:40:6.822152
13:41:6.822305,13:41:6.809662,13:41:6.809696,13:41:6.873760
