Client_Send,Server_Receive,Server_Send,Client_Receive
21:19:6.929386,21:19:6.929473,21:19:6.929531,21:19:6.929571
21:20:6.929731,21:20:6.929819,21:20:6.929848,21:20:6.929888
21:21:6.930039,21:21:6.930123,21:21:6.930150,21:21:6.930190
21:22:6.930345,21:22:6.930428,21:22:6.930457,21:22:6.930498
21:23:6.930667,21:23:6.930750,21:23:6.930779,21:23:6.930821
21:24:6.930980,21:24:6.931065,21:24:6.931091,21:24:6.931130
21:25:6.931277,21:25:6.931364,21:25:6.931390,21:25:6.931431
21:26:6.931582,21:26:6.931669,21:26:6.931697,21:26:6.931736
21:27:6.931882,21:27:6.931938,21:27:6.931954,21:27:6.931976
21:28:6.932115,21:28:6.932202,21:28:6.932228,21:28:6.932268
21:29:6.932415,21:29:6.932499,21:29:6.932526,21:29:6.932565
21:30:6.932652,21:30:6.932744,21:30:6.932763,21:30:6.932803
21:31:6.932948,21:31:6.933106,21:31:6.933135,21:31:6.933213
21:32:6.933371,21:32:6.933488,21:32:6.933520,21:32:6.933595
21:33:6.933760,21:33:6.933876,21:33:6.933906,21:33:6.934020
21:34:6.934258,21:34:6.934345,21:34:6.934378,21:34:6.934430
21:35:6.934598,21:35:6.934687,21:35:6.934725,21:35:6.934801
21:36:6.934989,21:36:6.935099,21:36:6.935129,21:36:6.935241
21:37:6.935429,21:37:6.935583,21:37:6.935612,21:37:6.935685
21:38:6.935845,21:38:6.935931,21:38:6.935962,21:38:6.936041
21:39:6.936264,21:39:6.936378,21:39:6.936407,21:39:6.936484
21:40:6.936712,21:40:6.936838,21:40:6.936869,21:40:6.936978
21:41:6.937195,21:41:6.937314,21:41:6.937353,21:41:6.937439
21:42:6.937626,21:42:6.937741,21:42:6.937770,21:42:6.937844
21:43:6.938031,21:43:6.938147,21:43:6.938198,21:43:6.938247
21:44:6.938428,21:44:6.938538,21:44:6.938570,21:44:6.938646
21:45:6.938812,21:45:6.938961,21:45:6.938996,21:45:6.939078
21:46:6.939234,21:46:6.939346,21:46:6.939377,21:46:6.939461
21:47:6.939678,21:47:6.939791,21:47:6.939821,21:47:6.939932
21:48:6.940088,21:48:6.940237,21:48:6.940273,21:48:6.940361
21:49:6.940553,21:49:6.940665,21:49:6.940700,21:49:6.940799
21:50:6.940952,21:50:6.941034,21:50:6.941065,21:50:6.941147
21:51:6.941319,21:51:6.941430,21:51:6.941459,21:51:6.941534
21:52:6.941693,21:52:6.941803,21:52:6.941832,21:52:6.941907
21:53:6.942065,21:53:6.942180,21:53:6.942209,21:53:6.942283
21:54:6.942471,21:54:6.942589,21:54:6.942618,21:54:6.942664
21:55:6.942840,21:55:6.942949,21:55:6.942979,21:55:6.943094
21:56:6.943262,21:56:6.943373,21:56:6.943403,21:56:6.943514
21:57:6.943676,21:57:6.943825,21:57:6.943854,21:57:6.943927
21:58:6.944090,21:58:6.944202,21:58:6.944236,21:58:6.944344
21:59:6.944508,21:59:6.944617,21:59:6.944645,21:59:6.944718
22:0:6.944880,22:0:6.944967,22:0:6.944996,22:0:6.945114
22:1:6.945274,22:1:6.945390,22:1:6.945421,22:1:6.945534
22:2:6.945697,22:2:6.945788,22:2:6.945820,22:2:6.945873
22:3:6.946039,22:3:6.946126,22:3:6.946159,22:3:6.946240
22:4:6.946392,22:4:6.946504,22:4:6.946537,22:4:6.946617
22:5:6.946770,22:5:6.946888,22:5:6.946917,22:5:6.946964
22:6:6.947122,22:6:6.947211,22:6:6.947243,22:6:6.947322
