Client_Send,Server_Receive,Server_Send,Client_Receive
7:32:14.149414,7:32:12.796868,7:32:12.796906,7:32:19.717877
7:33:19.718047,7:33:18.327332,7:33:18.327372,7:33:19.822733
7:34:19.822894,7:34:18.457403,7:34:18.457445,7:34:20.044673
7:35:20.044839,7:35:18.738417,7:35:18.738468,7:35:20.450113
7:36:20.450280,7:36:19.149183,7:36:19.149223,7:36:20.864845
7:37:20.865005,7:37:19.385101,7:37:19.385141,7:37:20.905486
7:38:20.905648,7:38:19.558977,7:38:19.559017,7:38:21.287682
7:39:21.287849,7:39:19.971832,7:39:19.971870,7:39:21.709163
7:40:21.709326,7:40:20.383684,7:40:20.383722,7:40:22.222548
7:41:22.222711,7:41:20.796158,7:41:20.796194,7:41:22.332819
7:42:22.332994,7:42:21.006824,7:42:21.006866,7:42:22.748058
7:43:22.748224,7:43:21.414942,7:43:21.414988,7:43:23.165349
7:44:23.165515,7:44:21.831413,7:44:21.831453,7:44:23.584068
7:45:23.584234,7:45:22.240664,7:45:22.240730,7:45:23.998234
7:46:23.998411,7:46:22.650232,7:46:22.650270,7:46:24.423628
7:47:24.423759,7:47:23.063623,7:47:23.063662,7:47:24.831826
7:48:24.831986,7:48:23.474985,7:48:23.475025,7:48:25.248776
7:49:25.249042,7:49:23.886812,7:49:23.886850,7:49:25.593651
7:50:25.593816,7:50:24.088799,7:50:24.088837,7:50:25.673189
7:51:25.673360,7:51:24.293489,7:51:24.293528,7:51:26.090002
7:52:26.090177,7:52:24.704922,7:52:24.704962,7:52:26.369887
7:53:26.370050,7:53:24.770346,7:53:24.770367,7:53:26.373343
7:54:26.373501,7:54:25.130816,7:54:25.130856,7:54:26.830243
7:55:26.830408,7:55:25.326653,7:55:25.326691,7:55:27.041450
7:56:27.041621,7:56:25.533247,7:56:25.533289,7:56:27.368403
7:57:27.368534,7:57:25.943081,7:57:25.943119,7:57:27.571458
7:58:27.571680,7:58:26.177973,7:58:26.178013,7:58:27.923741
