Client_Send,Server_Receive,Server_Send,Client_Receive
21:29:28.456700,21:29:28.645029,21:29:28.645073,21:29:28.669717
21:30:28.669891,21:30:28.854742,21:30:28.854782,21:30:28.881960
21:31:28.882073,21:31:29.269276,21:31:29.269318,21:31:29.410854
21:32:29.411014,21:32:29.471478,21:32:29.471512,21:32:29.432706
21:33:29.432964,21:33:29.481335,21:33:29.481373,21:33:29.438925
21:34:29.439144,21:34:29.478548,21:34:29.478575,21:34:29.443873
21:35:29.444045,21:35:29.495218,21:35:29.495258,21:35:29.466303
21:36:29.466472,21:36:29.536598,21:36:29.536638,21:36:29.517580
21:37:29.517812,21:37:29.535746,21:37:29.535769,21:37:29.521550
21:38:29.521722,21:38:29.603664,21:38:29.603704,21:38:29.595295
21:39:29.595472,21:39:29.642416,21:39:29.642439,21:39:29.600698
21:40:29.600859,21:40:29.791172,21:40:29.791216,21:40:29.935771
21:41:29.935946,21:41:30.225365,21:41:30.225405,21:41:30.380386
21:42:30.380572,21:42:30.655588,21:42:30.655632,21:42:31.020445
21:43:31.020642,21:43:31.053726,21:43:31.053797,21:43:31.027610
21:44:31.027808,21:44:31.229183,21:44:31.229223,21:44:31.408440
21:45:31.408603,21:45:31.427074,21:45:31.427116,21:45:31.415684
21:46:31.415855,21:46:31.875084,21:46:31.875126,21:46:32.043895
21:47:32.044070,21:47:32.256767,21:47:32.256809,21:47:32.460485
21:48:32.460659,21:48:32.468292,21:48:32.468334,21:48:32.479796
21:49:32.479970,21:49:32.897537,21:49:32.897579,21:49:33.104340
21:50:33.104485,21:50:33.223156,21:50:33.223194,21:50:33.474551
21:51:33.474728,21:51:33.582436,21:51:33.582478,21:51:33.698400
21:52:33.698587,21:52:33.749432,21:52:33.749470,21:52:33.786439
21:53:33.786602,21:53:33.964676,21:53:33.964718,21:53:34.205659
21:54:34.205838,21:54:34.436783,21:54:34.436825,21:54:34.624485
21:55:34.624645,21:55:34.836777,21:55:34.836815,21:55:34.945058
21:56:34.945240,21:56:35.053585,21:56:35.053627,21:56:35.163953
21:57:35.164122,21:57:35.192165,21:57:35.192207,21:57:35.211289
21:58:35.211447,21:58:35.452511,21:58:35.452549,21:58:35.684109
21:59:35.684258,21:59:35.862846,21:59:35.862885,21:59:36.202452
22:0:36.202621,22:0:36.170025,22:0:36.170063,22:0:36.210622
22:1:36.210793,22:1:36.288887,22:1:36.288925,22:1:36.424006
22:2:36.424169,22:2:36.488392,22:2:36.488426,22:2:36.635888
22:3:36.636049,22:3:36.620979,22:3:36.621017,22:3:36.685201
22:4:36.685337,22:4:36.698597,22:4:36.698639,22:4:36.763215
22:5:36.763374,22:5:36.897324,22:5:36.897366,22:5:37.166719
22:6:37.166865,22:6:37.320461,22:6:37.320503,22:6:37.478945
22:7:37.479083,22:7:37.519344,22:7:37.519382,22:7:37.583719
22:8:37.583861,22:8:37.729267,22:8:37.729305,22:8:37.997218
22:9:37.997373,22:9:38.145233,22:9:38.145275,22:9:38.411815
22:10:38.411969,22:10:38.638161,22:10:38.638203,22:10:38.826516
22:11:38.826675,22:11:39.044697,22:11:39.044739,22:11:39.257880
22:12:39.258047,22:12:39.459106,22:12:39.459145,22:12:39.655756
22:13:39.655916,22:13:39.870747,22:13:39.870789,22:13:40.070923
22:14:40.071082,22:14:40.296600,22:14:40.296638,22:14:40.387168
22:15:40.387328,22:15:40.498489,22:15:40.498531,22:15:40.595435
22:16:40.595598,22:16:40.907745,22:16:40.907787,22:16:40.914058
22:17:40.914218,22:17:41.147305,22:17:41.147343,22:17:41.299843
22:18:41.300002,22:18:41.319870,22:18:41.319908,22:18:41.348160
22:19:41.348312,22:19:41.529305,22:19:41.529350,22:19:41.883110
22:20:41.883268,22:20:41.940193,22:20:41.940231,22:20:41.957653
22:21:41.957812,22:21:42.147793,22:21:42.147831,22:21:42.476987
22:22:42.477148,22:22:42.572815,22:22:42.572853,22:22:42.805568
22:23:42.805739,22:23:42.985909,22:23:42.985950,22:23:43.435091
22:24:43.435259,22:24:43.785130,22:24:43.785168,22:24:44.034773
22:25:44.034948,22:25:44.215519,22:25:44.215557,22:25:44.354515
22:26:44.354674,22:26:44.693794,22:26:44.693832,22:26:44.868198
22:27:44.868360,22:27:45.109844,22:27:45.109882,22:27:45.299216
22:28:45.299382,22:28:45.349174,22:28:45.349220,22:28:45.323651
22:29:45.323816,22:29:45.528042,22:29:45.528084,22:29:45.602786
22:30:45.602954,22:30:45.732807,22:30:45.732845,22:30:45.917550
22:31:45.917712,22:31:46.142387,22:31:46.142426,22:31:46.341831
22:32:46.341993,22:32:46.364944,22:32:46.364983,22:32:46.363243
22:33:46.363437,22:33:46.369007,22:33:46.369041,22:33:46.369864
22:34:46.370016,22:34:46.761852,22:34:46.761913,22:34:46.972317
22:35:46.972494,22:35:47.174744,22:35:47.174782,22:35:47.391643
22:36:47.391786,22:36:47.788841,22:36:47.788879,22:36:48.012182
22:37:48.012354,22:37:48.200634,22:37:48.200672,22:37:48.429969
22:38:48.430142,22:38:48.462837,22:38:48.462868,22:38:48.494968
22:39:48.495143,22:39:48.843700,22:39:48.843746,22:39:49.066280
22:40:49.066443,22:40:49.226990,22:40:49.227032,22:40:49.487751
22:41:49.487952,22:41:49.662582,22:41:49.662624,22:41:49.905196
22:42:49.905372,22:42:50.046257,22:42:50.046295,22:42:50.322290
22:43:50.322456,22:43:50.283123,22:43:50.283169,22:43:50.358460
22:44:50.358605,22:44:50.541965,22:44:50.542023,22:44:50.745596
22:45:50.745762,22:45:50.978645,22:45:50.978687,22:45:51.264498
22:46:51.264640,22:46:51.367718,22:46:51.367756,22:46:51.482851
22:47:51.483017,22:47:51.573601,22:47:51.573639,22:47:51.699718
22:48:51.699902,22:48:51.780266,22:48:51.780304,22:48:51.807192
22:49:51.807365,22:49:52.412121,22:49:52.412155,22:49:52.631243
22:50:52.631375,22:50:52.618763,22:50:52.618801,22:50:52.662863
22:51:52.662988,22:51:52.631031,22:51:52.631069,22:51:52.672668
