Client_Send,Server_Receive,Server_Send,Client_Receive
12:38:6.539709,12:38:6.282442,12:38:6.283712,12:38:6.595247
12:39:6.595406,12:39:6.446037,12:39:6.446081,12:39:6.807103
12:40:6.807262,12:40:6.591822,12:40:6.591866,12:40:7.20019
12:41:7.20186,12:41:6.706078,12:41:6.706124,12:41:7.38951
12:42:7.39105,12:42:6.832565,12:42:6.832609,12:42:7.240618
12:43:7.240782,12:43:7.6568,12:43:7.6615,12:43:7.454769
12:44:7.454925,12:44:7.215810,12:44:7.215854,12:44:7.666737
12:45:7.666892,12:45:7.520539,12:45:7.520586,12:45:7.984547
12:46:7.984720,12:46:7.726035,12:46:7.726079,12:46:8.195744
12:47:8.195908,12:47:8.36429,12:47:8.36476,12:47:8.614112
12:48:8.614268,12:48:8.344312,12:48:8.344357,12:48:8.832561
12:49:8.832717,12:49:8.551266,12:49:8.551313,12:49:9.39528
12:50:9.39682,12:50:8.757803,12:50:8.757847,12:50:9.358217
12:51:9.358356,12:51:8.969218,12:51:8.969261,12:51:9.370085
12:52:9.370210,12:52:9.70825,12:52:9.70871,12:52:9.595533
12:53:9.595668,12:53:9.274784,12:53:9.274831,12:53:9.687802
12:54:9.687983,12:54:9.377908,12:54:9.377952,12:54:9.899174
12:55:9.899316,12:55:9.694893,12:55:9.694939,12:55:10.319487
12:56:10.319624,12:56:9.912985,12:56:9.913037,12:56:10.336720
12:57:10.336883,12:57:10.100548,12:57:10.100593,12:57:10.727886
12:58:10.728048,12:58:10.512612,12:58:10.512657,12:58:11.139782
12:59:11.139934,12:59:11.336102,12:59:11.336148,12:59:11.962036
13:0:11.962184,13:0:11.748823,13:0:11.748867,13:0:12.375959
13:1:12.376118,13:1:12.157970,13:1:12.158014,13:1:12.788815
13:2:12.788968,13:2:12.569126,13:2:12.569172,13:2:13.202590
13:3:13.202743,13:3:12.878050,13:3:12.878097,13:3:13.412231
13:4:13.412381,13:4:13.209988,13:4:13.210052,13:4:13.937681
13:5:13.937839,13:5:13.535904,13:5:13.535955,13:5:14.353953
13:6:14.354121,13:6:14.10813,13:6:14.10872,13:6:14.451915
13:7:14.452071,13:7:14.219080,13:7:14.219127,13:7:14.763741
13:8:14.763904,13:8:14.426108,13:8:14.426153,13:8:14.873444
13:9:14.873616,13:9:14.633213,13:9:14.633258,13:9:15.702016
13:10:15.702177,13:10:15.453745,13:10:15.453791,13:10:16.113039
13:11:16.113200,13:11:15.863847,13:11:15.863894,13:11:16.426775
13:12:16.426916,13:12:16.274132,13:12:16.274175,13:12:16.944166
13:13:16.944300,13:13:16.686397,13:13:16.686442,13:13:17.359395
13:14:17.359550,13:14:17.4712,13:14:17.4767,13:14:17.570337
13:15:17.570472,13:15:17.115370,13:15:17.115399,13:15:17.602030
13:16:17.602122,13:16:17.510219,13:16:17.510266,13:16:18.96885
13:17:18.97020,13:17:17.717239,13:17:17.717298,13:17:18.306512
