Sent_Time,Server_Time,Reply_Time
22:20:29.300724,22:20:29.300906,22:20:29.300977
22:20:30.301103,22:20:30.301243,22:20:30.301350
22:20:31.301495,22:20:31.301622,22:20:31.301694
22:20:32.301841,22:20:32.301965,22:20:32.302029
22:20:33.302172,22:20:33.302302,22:20:33.302419
22:20:34.302514,22:20:34.302633,22:20:34.302706
22:20:35.302803,22:20:35.302929,22:20:35.302998
22:20:36.303141,22:20:36.303263,22:20:36.303372
22:20:37.303525,22:20:37.303672,22:20:37.303767
22:20:38.303894,22:20:38.304023,22:20:38.304100
22:20:39.304240,22:20:39.304369,22:20:39.304449
22:20:40.304586,22:20:40.304708,22:20:40.304781
22:20:41.304923,22:20:41.305048,22:20:41.305166
22:20:42.305318,22:20:42.305442,22:20:42.305536
22:20:43.305682,22:20:43.305807,22:20:43.305878
22:20:44.305978,22:20:44.306115,22:20:44.306188
22:20:45.306332,22:20:45.306458,22:20:45.306530
22:20:46.306664,22:20:46.306786,22:20:46.306854
22:20:47.306998,22:20:47.307097,22:20:47.307168
22:20:48.307322,22:20:48.307419,22:20:48.307490
22:20:49.307637,22:20:49.307736,22:20:49.307777
22:20:50.307913,22:20:50.308011,22:20:50.308055
22:20:51.308206,22:20:51.308330,22:20:51.308444
22:20:52.308600,22:20:52.308725,22:20:52.308838
22:20:53.308989,22:20:53.309115,22:20:53.309221
22:20:54.309369,22:20:54.309532,22:20:54.309648
22:20:55.309791,22:20:55.309915,22:20:55.309995
22:20:56.310134,22:20:56.310306,22:20:56.310426
22:20:57.310558,22:20:57.310685,22:20:57.310804
22:20:58.310948,22:20:58.311109,22:20:58.311224
22:20:59.311370,22:20:59.311500,22:20:59.311570
22:21:0.311717,22:21:0.311845,22:21:0.311917
22:21:1.312063,22:21:1.312228,22:21:1.312279
22:21:2.312427,22:21:2.312553,22:21:2.312669
22:21:3.312818,22:21:3.312966,22:21:3.313020
22:21:4.313156,22:21:4.313256,22:21:4.313336
22:21:5.313480,22:21:5.313609,22:21:5.313723
22:21:6.313866,22:21:6.313967,22:21:6.314026
22:21:7.314145,22:21:7.314244,22:21:7.314290
22:21:8.314382,22:21:8.314478,22:21:8.314513
22:21:9.314642,22:21:9.314737,22:21:9.314773
22:21:10.314916,22:21:10.315011,22:21:10.315046
22:21:11.315183,22:21:11.315282,22:21:11.315317
22:21:12.315455,22:21:12.315547,22:21:12.315582
22:21:13.315720,22:21:13.315814,22:21:13.315849
22:21:14.315996,22:21:14.316093,22:21:14.316128
22:21:15.316264,22:21:15.316359,22:21:15.316393
22:21:16.316534,22:21:16.316625,22:21:16.316659
22:21:17.316788,22:21:17.316880,22:21:17.316916
22:21:18.317052,22:21:18.317147,22:21:18.317181
22:21:19.317319,22:21:19.317414,22:21:19.317449
22:21:20.317593,22:21:20.317688,22:21:20.317723
22:21:21.317883,22:21:21.317980,22:21:21.318014
22:21:22.318147,22:21:22.318241,22:21:22.318284
22:21:23.318339,22:21:23.318432,22:21:23.318468
22:21:24.318594,22:21:24.318686,22:21:24.318722
22:21:25.318857,22:21:25.318954,22:21:25.318987
22:21:26.319125,22:21:26.319221,22:21:26.319256
22:21:27.319377,22:21:27.319469,22:21:27.319505
22:21:28.319594,22:21:28.319689,22:21:28.319724
