Client_Send,Server_Receive,Server_Send,Client_Receive
9:21:12.904165,9:21:12.904279,9:21:12.904372,9:21:12.904402
9:22:12.904555,9:22:12.904690,9:22:12.904735,9:22:12.904799
9:23:12.904929,9:23:12.905005,9:23:12.905055,9:23:12.905116
9:24:12.905264,9:24:12.905366,9:24:12.905404,9:24:12.905467
9:25:12.905617,9:25:12.905728,9:25:12.905769,9:25:12.905830
9:26:12.905974,9:26:12.906082,9:26:12.906118,9:26:12.906180
9:27:12.906288,9:27:12.906369,9:27:12.906493,9:27:12.906571
9:28:12.906711,9:28:12.906797,9:28:12.906840,9:28:12.906912
9:29:12.907063,9:29:12.907173,9:29:12.907210,9:29:12.907311
9:30:12.907418,9:30:12.907491,9:30:12.907521,9:30:12.907544
9:31:12.907690,9:31:12.907772,9:31:12.907821,9:31:12.907884
9:32:12.908011,9:32:12.908116,9:32:12.908140,9:32:12.908154
9:33:12.908260,9:33:12.908347,9:33:12.908384,9:33:12.908442
9:34:12.908609,9:34:12.908713,9:34:12.908748,9:34:12.908778
9:35:12.908915,9:35:12.909001,9:35:12.909069,9:35:12.909121
9:36:12.909230,9:36:12.909320,9:36:12.909370,9:36:12.909393
9:37:12.909512,9:37:12.909615,9:37:12.909654,9:37:12.909714
9:38:12.909891,9:38:12.909988,9:38:12.910034,9:38:12.910097
9:39:12.910350,9:39:12.910446,9:39:12.910493,9:39:12.910557
9:40:12.910657,9:40:12.910804,9:40:12.910840,9:40:12.910900
9:41:12.910998,9:41:12.911098,9:41:12.911134,9:41:12.911161
9:42:12.911310,9:42:12.911411,9:42:12.911449,9:42:12.911553
9:43:12.911712,9:43:12.911817,9:43:12.911856,9:43:12.911916
9:44:12.912068,9:44:12.912166,9:44:12.912198,9:44:12.912248
9:45:12.912430,9:45:12.912527,9:45:12.912563,9:45:12.912624
9:46:12.912797,9:46:12.912936,9:46:12.912983,9:46:12.913047
9:47:12.913212,9:47:12.913299,9:47:12.913345,9:47:12.913380
9:48:12.913544,9:48:12.913682,9:48:12.913728,9:48:12.913792
9:49:12.913940,9:49:12.914042,9:49:12.914082,9:49:12.914113
9:50:12.914290,9:50:12.914426,9:50:12.914473,9:50:12.914539
9:51:12.914706,9:51:12.914806,9:51:12.914846,9:51:12.914879
9:52:12.915039,9:52:12.915141,9:52:12.915177,9:52:12.915237
9:53:12.915375,9:53:12.915475,9:53:12.915511,9:53:12.915575
9:54:12.915719,9:54:12.915817,9:54:12.915855,9:54:12.915958
9:55:12.916107,9:55:12.916196,9:55:12.916243,9:55:12.916280
9:56:12.916437,9:56:12.916521,9:56:12.916568,9:56:12.916602
9:57:12.916755,9:57:12.916831,9:57:12.916879,9:57:12.916911
9:58:12.917061,9:58:12.917169,9:58:12.917205,9:58:12.917238
9:59:12.917391,9:59:12.917500,9:59:12.917537,9:59:12.917569
10:0:12.917745,10:0:12.917852,10:0:12.917888,10:0:12.917919
10:1:12.918081,10:1:12.918180,10:1:12.918219,10:1:12.918279
10:2:12.918445,10:2:12.918544,10:2:12.918581,10:2:12.918684
10:3:12.918849,10:3:12.918972,10:3:12.919013,10:3:12.919123
10:4:12.919296,10:4:12.919395,10:4:12.919430,10:4:12.919533
10:5:12.919686,10:5:12.919772,10:5:12.919796,10:5:12.919822
10:6:12.919975,10:6:12.920073,10:6:12.920109,10:6:12.920218
10:7:12.920363,10:7:12.920477,10:7:12.920513,10:7:12.920611
10:8:12.920774,10:8:12.920879,10:8:12.920915,10:8:12.920947
10:9:12.921116,10:9:12.921217,10:9:12.921253,10:9:12.921284
10:10:12.921362,10:10:12.921464,10:10:12.921500,10:10:12.921535
10:11:12.921651,10:11:12.921747,10:11:12.921787,10:11:12.921846
10:12:12.921984,10:12:12.922087,10:12:12.922123,10:12:12.922156
10:13:12.922308,10:13:12.922416,10:13:12.922451,10:13:12.922483
10:14:12.922635,10:14:12.922733,10:14:12.922768,10:14:12.922829
10:15:12.922950,10:15:12.923051,10:15:12.923090,10:15:12.923135
10:16:12.923266,10:16:12.923365,10:16:12.923400,10:16:12.923461
10:17:12.923574,10:17:12.923646,10:17:12.923691,10:17:12.923723
10:18:12.923859,10:18:12.923959,10:18:12.923996,10:18:12.924098
10:19:12.924238,10:19:12.924342,10:19:12.924378,10:19:12.924411
10:20:12.924570,10:20:12.924674,10:20:12.924709,10:20:12.924742
