Client_Send,Server_Receive,Server_Send,Client_Receive
21:16:51.173140,21:16:51.173321,21:16:51.173393,21:16:51.173434
21:17:51.173601,21:17:51.173706,21:17:51.173737,21:17:51.173844
21:18:51.173963,21:18:51.174046,21:18:51.174072,21:18:51.174146
21:19:51.174332,21:19:51.174435,21:19:51.174461,21:19:51.174532
21:20:51.174716,21:20:51.174789,21:20:51.174820,21:20:51.174893
21:21:51.175055,21:21:51.175159,21:21:51.175190,21:21:51.175257
21:22:51.175384,21:22:51.175491,21:22:51.175522,21:22:51.175557
21:23:51.175703,21:23:51.175804,21:23:51.175831,21:23:51.175900
21:24:51.176057,21:24:51.176159,21:24:51.176193,21:24:51.176268
21:25:51.176426,21:25:51.176502,21:25:51.176533,21:25:51.176608
21:26:51.176768,21:26:51.176876,21:26:51.176903,21:26:51.176970
21:27:51.177126,21:27:51.177208,21:27:51.177238,21:27:51.177310
21:28:51.177471,21:28:51.177574,21:28:51.177601,21:28:51.177667
21:29:51.177823,21:29:51.177963,21:29:51.178001,21:29:51.178074
21:30:51.178235,21:30:51.178333,21:30:51.178364,21:30:51.178430
21:31:51.178780,21:31:51.178890,21:31:51.178921,21:31:51.179029
21:32:51.179258,21:32:51.179405,21:32:51.179436,21:32:51.179502
21:33:51.179801,21:33:51.179874,21:33:51.179909,21:33:51.179980
21:34:51.180210,21:34:51.180294,21:34:51.180328,21:34:51.180404
21:35:51.180674,21:35:51.180805,21:35:51.180832,21:35:51.180899
21:36:51.181149,21:36:51.181229,21:36:51.181259,21:36:51.181332
21:37:51.181563,21:37:51.181652,21:37:51.181686,21:37:51.181734
21:38:51.181938,21:38:51.182041,21:38:51.182072,21:38:51.182139
21:39:51.182340,21:39:51.182442,21:39:51.182468,21:39:51.182536
21:40:51.182727,21:40:51.182819,21:40:51.182854,21:40:51.182918
21:41:51.183084,21:41:51.183186,21:41:51.183216,21:41:51.183293
21:42:51.183435,21:42:51.183544,21:42:51.183575,21:42:51.183614
21:43:51.183764,21:43:51.183876,21:43:51.183907,21:43:51.184010
21:44:51.184213,21:44:51.184353,21:44:51.184387,21:44:51.184463
21:45:51.184617,21:45:51.184677,21:45:51.184700,21:45:51.184738
21:46:51.184884,21:46:51.184982,21:46:51.185013,21:46:51.185082
21:47:51.185318,21:47:51.185429,21:47:51.185459,21:47:51.185526
21:48:51.185714,21:48:51.185822,21:48:51.185848,21:48:51.185954
21:49:51.186177,21:49:51.186253,21:49:51.186283,21:49:51.186357
21:50:51.186518,21:50:51.186630,21:50:51.186657,21:50:51.186725
21:51:51.186883,21:51:51.187031,21:51:51.187057,21:51:51.187126
21:52:51.187286,21:52:51.187401,21:52:51.187431,21:52:51.187505
21:53:51.187660,21:53:51.187801,21:53:51.187832,21:53:51.187898
21:54:51.188078,21:54:51.188217,21:54:51.188251,21:54:51.188327
21:55:51.188498,21:55:51.188610,21:55:51.188641,21:55:51.188705
21:56:51.188887,21:56:51.188988,21:56:51.189018,21:56:51.189083
21:57:51.189244,21:57:51.189358,21:57:51.189392,21:57:51.189466
21:58:51.189628,21:58:51.189709,21:58:51.189739,21:58:51.189813
21:59:51.189971,21:59:51.190109,21:59:51.190144,21:59:51.190217
22:0:51.190397,22:0:51.190540,22:0:51.190571,22:0:51.190674
22:1:51.190830,22:1:51.190937,22:1:51.190968,22:1:51.191006
22:2:51.191174,22:2:51.191277,22:2:51.191307,22:2:51.191373
22:3:51.191529,22:3:51.191643,22:3:51.191673,22:3:51.191712
22:4:51.191859,22:4:51.191963,22:4:51.191994,22:4:51.192064
22:5:51.192155,22:5:51.192261,22:5:51.192287,22:5:51.192355
22:6:51.192454,22:6:51.192604,22:6:51.192638,22:6:51.192714
22:7:51.192859,22:7:51.193008,22:7:51.193047,22:7:51.193125
22:8:51.193246,22:8:51.193348,22:8:51.193378,22:8:51.193446
22:9:51.193602,22:9:51.193752,22:9:51.193779,22:9:51.193847
22:10:51.194000,22:10:51.194107,22:10:51.194134,22:10:51.194204
22:11:51.194344,22:11:51.194447,22:11:51.194473,22:11:51.194576
22:12:51.194727,22:12:51.194832,22:12:51.194859,22:12:51.194927
22:13:51.195080,22:13:51.195190,22:13:51.195221,22:13:51.195291
22:14:51.195443,22:14:51.195545,22:14:51.195576,22:14:51.195642
22:15:51.195797,22:15:51.195904,22:15:51.195930,22:15:51.195998
22:16:51.196160,22:16:51.196262,22:16:51.196293,22:16:51.196362
22:17:51.196519,22:17:51.196667,22:17:51.196693,22:17:51.196761
22:18:51.196922,22:18:51.197029,22:18:51.197060,22:18:51.197101
22:19:51.197242,22:19:51.197357,22:19:51.197388,22:19:51.197450
22:20:51.197616,22:20:51.197731,22:20:51.197762,22:20:51.197800
22:21:51.197961,22:21:51.198051,22:21:51.198090,22:21:51.198142
22:22:51.198294,22:22:51.198402,22:22:51.198433,22:22:51.198472
22:23:51.198645,22:23:51.198719,22:23:51.198750,22:23:51.198797
22:24:51.198957,22:24:51.199066,22:24:51.199097,22:24:51.199135
22:25:51.199306,22:25:51.199406,22:25:51.199436,22:25:51.199504
22:26:51.199674,22:26:51.199776,22:26:51.199806,22:26:51.199875
